date,btcClose,ethClose,adaClose
2015-07-10,284.89401200000003,,
2015-07-11,293.11499,,
2015-07-12,310.867004,,
2015-07-13,292.053986,,
2015-07-14,287.463989,,
2015-07-15,285.82901,,
2015-07-16,278.088989,,
2015-07-17,279.471985,,
2015-07-18,274.90100099999995,,
2015-07-19,273.614014,,
2015-07-20,278.98098799999997,,
2015-07-21,275.833008,,
2015-07-22,277.221985,,
2015-07-23,276.049011,,
2015-07-24,288.278015,,
2015-07-25,288.696991,,
2015-07-26,292.68600499999997,,
2015-07-27,293.62399300000004,,
2015-07-28,294.427002,,
2015-07-29,289.589996,,
2015-07-30,287.721985,,
2015-07-31,284.649994,,
2015-08-01,281.60101299999997,,
2015-08-02,282.614014,,
2015-08-03,281.22699,,
2015-08-04,285.217987,,
2015-08-05,281.88198900000003,,
2015-08-06,278.576996,,
2015-08-07,279.584991,2.77212,
2015-08-08,260.997009,0.753325,
2015-08-09,265.083008,0.701897,
2015-08-10,264.47000099999997,0.708448,
2015-08-11,270.385986,1.06786,
2015-08-12,266.37600699999996,1.2174399999999999,
2015-08-13,264.079987,1.8276700000000001,
2015-08-14,265.679993,1.82787,
2015-08-15,261.550995,1.6889,
2015-08-16,258.50698900000003,1.56603,
2015-08-17,257.97601299999997,1.20361,
2015-08-18,211.07899500000002,1.08705,
2015-08-19,226.684006,1.25886,
2015-08-20,235.350006,1.46492,
2015-08-21,232.569,1.39529,
2015-08-22,230.38999900000002,1.37923,
2015-08-23,228.169006,1.35259,
2015-08-24,210.49499500000002,1.23127,
2015-08-25,221.608994,1.14019,
2015-08-26,225.830994,1.15998,
2015-08-27,224.768997,1.1477,
2015-08-28,231.395996,1.1913799999999999,
2015-08-29,229.77999900000003,1.18255,
2015-08-30,228.761002,1.3192700000000002,
2015-08-31,230.056,1.35824,
2015-09-01,228.121002,1.35161,
2015-09-02,229.28399700000003,1.2947899999999999,
2015-09-03,227.18299900000002,1.2649299999999999,
2015-09-04,230.298004,1.27441,
2015-09-05,235.018997,1.33881,
2015-09-06,239.83999599999999,1.29583,
2015-09-07,239.847,1.24665,
2015-09-08,243.606995,1.24243,
2015-09-09,238.167999,1.20651,
2015-09-10,238.477005,1.16577,
2015-09-11,240.106995,0.982978,
2015-09-12,235.229004,1.03874,
2015-09-13,230.51199300000002,0.936003,
2015-09-14,230.643997,0.8756219999999999,
2015-09-15,230.30400099999997,0.9444100000000001,
2015-09-16,229.09100299999997,0.907175,
2015-09-17,229.809998,0.874231,
2015-09-18,232.975006,0.853685,
2015-09-19,231.492996,0.882391,
2015-09-20,231.212006,0.9384450000000001,
2015-09-21,227.085007,0.919047,
2015-09-22,230.617996,0.9017959999999999,
2015-09-23,230.28300499999997,0.8934059999999999,
2015-09-24,234.52900699999998,0.81361,
2015-09-25,235.143997,0.736223,
2015-09-26,234.33999599999999,0.785964,
2015-09-27,232.757004,0.720839,
2015-09-28,239.141998,0.582886,
2015-09-29,236.686996,0.661146,
2015-09-30,236.059998,0.738644,
2015-10-01,237.548996,0.6902149999999999,
2015-10-02,237.292999,0.678574,
2015-10-03,238.729996,0.687171,
2015-10-04,238.25900299999998,0.668379,
2015-10-05,240.382996,0.6286430000000001,
2015-10-06,246.063004,0.650645,
2015-10-07,242.96899399999998,0.609388,
2015-10-08,242.30400099999997,0.6217159999999999,
2015-10-09,243.931,0.650628,
2015-10-10,244.940994,0.627857,
2015-10-11,247.05000299999998,0.634963,
2015-10-12,245.30799900000002,0.62603,
2015-10-13,249.507996,0.6076550000000001,
2015-10-14,251.988998,0.522968,
2015-10-15,254.32000699999998,0.561878,
2015-10-16,262.868988,0.5364949999999999,
2015-10-17,270.640015,0.5471779999999999,
2015-10-18,261.64300499999996,0.517734,
2015-10-19,263.43701200000004,0.48901400000000006,
2015-10-20,269.463013,0.434829,
2015-10-21,266.272003,0.447329,
2015-10-22,274.02301,0.567702,
2015-10-23,276.496002,0.5396569999999999,
2015-10-24,281.653992,0.5635899999999999,
2015-10-25,283.679993,0.616039,
2015-10-26,285.299988,0.731317,
2015-10-27,293.78799399999997,0.869641,
2015-10-28,304.61801099999997,1.00248,
2015-10-29,313.855011,1.20666,
2015-10-30,328.015015,1.04122,
2015-10-31,314.16598500000003,0.9166270000000001,
2015-11-01,325.431,1.05567,
2015-11-02,361.18899500000003,0.9897889999999999,
2015-11-03,403.416992,1.01336,
2015-11-04,411.56298799999996,0.89905,
2015-11-05,386.35400400000003,0.8956370000000001,
2015-11-06,374.47000099999997,0.926032,
2015-11-07,386.48199500000004,0.927974,
2015-11-08,373.36801099999997,1.02747,
2015-11-09,380.25698900000003,0.9992780000000001,
2015-11-10,336.819,0.934348,
2015-11-11,311.08401499999997,0.791829,
2015-11-12,338.152008,0.895711,
2015-11-13,336.752991,0.9040959999999999,
2015-11-14,332.906006,0.888812,
2015-11-15,320.16598500000003,0.9063680000000001,
2015-11-16,330.75100699999996,0.9289620000000001,
2015-11-17,335.093994,1.0079799999999999,
2015-11-18,334.589996,0.9933190000000001,
2015-11-19,326.14898700000003,0.9555319999999999,
2015-11-20,322.022003,0.9249200000000001,
2015-11-21,326.927002,0.97614,
2015-11-22,324.536011,0.968018,
2015-11-23,323.04599,0.9469690000000001,
2015-11-24,320.04599,0.900191,
2015-11-25,328.205994,0.8635370000000001,
2015-11-26,352.68399,0.8841829999999999,
2015-11-27,358.041992,0.867951,
2015-11-28,357.381012,0.915703,
2015-11-29,371.294006,0.8786139999999999,
2015-11-30,377.321014,0.8731190000000001,
2015-12-01,362.488007,0.8748,
2015-12-02,359.18701200000004,0.82121,
2015-12-03,361.04599,0.8121430000000001,
2015-12-04,363.183014,0.840041,
2015-12-05,388.949005,0.8624379999999999,
2015-12-06,388.78299,0.8355,
2015-12-07,395.536011,0.811264,
2015-12-08,415.56298799999996,0.822118,
2015-12-09,417.56298799999996,0.792167,
2015-12-10,415.47900400000003,0.8403959999999999,
